St Lawrence University,88,
St. John's College,88,
Bard College,88,
University of Evansville,88,
Manhattan College,88,
Eckerd College,88,
Augustana College,88,
Bennington College,88,
George Fox University,88,
Ripon College,88,
Southern Oregon University,88,
University of Sioux Falls,88,
George Washington University,87,
Rochester Institute of Technology,87,
Truman State University,87,
Nova Southeastern University,87,
Providence College,87,
Lake Forest College,87,
Western Carolina University,87,
Lincoln Memorial University,87,
Baldwin Wallace University,87,
Capital University,87,
Manchester University,87,
University of California-Merced,87,
Saint Mary's College,87,
University of California-San Diego,86,
Santa Clara University,86,
University of Massachusetts-Amherst,86,
Andrews University,86,
Presbyterian College,86,
Florida Institute of Technology,86,
St. John's College,86,
University of St Thomas,86,
Western Washington University,86,
Northwest Nazarene University,86,
Regis University,86,
McPherson College,86,
Hanover College,86,
Alfred University,86,
Rockhurst University,86,
Greensboro College,86,
Western Illinois University,86,
Millikin University,86,
Eastern Washington University,86,
Muhlenberg College,85,
Illinois Institute of Technology,85,
Coe College,85,
Virginia Military Institute,85,
Drew University,85,
Hollins University,85,
Berry College,85,
Agnes Scott College,85,
Creighton University,85,
Juniata College,85,
Ursinus College,85,
Texas Lutheran University,85,
University of St Francis,85,
Tuskegee University,85,
Bridgewater College,85,
Oklahoma Baptist University,85,
University of California-Riverside,85,
University of Massachusetts-Boston,85,
Lycoming College,85,
Hamline University,85,
Dordt College,85,
Doane University-Arts & Sciences,85,
Olivet Nazarene University,85,
Canisius College,85,
University of Wisconsin-Eau Claire,85,
Bethany Lutheran College,85,
Linfield College-McMinnville Campus,85,
Warren Wilson College,85,
Niagara University,85,
Mills College,85,
Nazareth College,85,
University of Wisconsin-Superior,85,
Columbia College of Nursing,85,
Rensselaer Polytechnic Institute,84,
University of Denver,84,
Milwaukee School of Engineering,84,
Wheaton College (IL),84,
University of California-Irvine,84,
Covenant College,84,
Concordia University-Chicago,84,
Albright College,84,
Goshen College,84,
Roanoke College,84,
University of Redlands,84,
Wittenberg University,84,
John Carroll University,84,
Simpson College,84,
Mount Saint Joseph University,84,
Ursuline College,84,
Aquinas College,84,
Goucher College,84,
Roger Williams University,84,
University of California-Santa Cruz,83,
Susquehanna University,83,
Loyola University New Orleans,83,
Carroll College,83,
Central College,83,
University of Dallas,83,
Westmont College,83,
Iowa State University,83,
Missouri Valley College,83,
Arcadia University,83,
The College of Saint Scholastica,83,
Saint Vincent College,83,
Ouachita Baptist University,83,
Spring Arbor University,83,
Concordia University-Nebraska,83,
Elizabethtown College,83,
Misericordia University,83,
Lebanon Valley College,83,
Saint Michael's College,83,
The Juilliard School,82,
University of California-Los Angeles,82,
University of California-Davis,82,
University of Washington-Seattle Campus,82,
Purdue University-Main Campus,82,
Hobart William Smith Colleges,82,
Gonzaga University,82,
Drexel University,82,
University of Colorado Boulder,82,
Harding University,82,
Willamette University,82,
Marquette University,82,
Catholic University of America,82,
Saint Norbert College,82,
Sweet Briar College,82,
Villanova University,81,
Furman University,81,
Union University,81,
Le Moyne College,81,
Drury University,81,
Saint Anselm College,81,
Bethel University,81,
Hope College,81,
Wisconsin Lutheran College,81,
Kansas State University,81,
Cleveland Institute of Music,81,
Christian Brothers University,81,
Lynchburg College,81,
Wartburg College,81,
Emory & Henry College,81,
Norwich University,81,
Bowling Green State University-Main Campus,81,
Trine University,81,
Central Washington University,81,
College of Saint Rose,81,
University of Wisconsin-Stout,81,
University of California-Santa Barbara,80,
Fordham University,80,
North Carolina State University at Raleigh,80,
Worcester Polytechnic Institute,80,
Ohio Wesleyan University,80,
Loyola University Chicago,80,
University of Detroit Mercy,80,
Pacific University,80,
Houghton College,80,
Westminster College (UT),80,
Whitworth University,80,
Augsburg College,80,
Rollins College,80,
Eastern University,80,
Concordia University-Wisconsin,80,
Lesley University,80,
Whittier College,80,
University of North Carolina at Greensboro,80,
University of Idaho,80,
Fairleigh Dickinson University-Florham Campus,80,
Moravian College,80,
Campbell University,80,
Bellarmine University,80,
Suffolk University,80,
Northwest University,80,
Gardner-Webb University,80,
Fairfield University,80,
Northwest Christian University,80,
University of Wisconsin-Green Bay,80,
Iona College,80,
College of William and Mary,79,
Michigan Technological University,79,
Washington & Jefferson College,79,
